query,business_name,review_rating,review_text,review_photos,review_tags,total_reviews,owner_replies,date,date_visited,review_id,author_title,author_friend_count,author_photo_count,author_location,author_id,author_url
https://www.yelp.com/biz/university-group-champaign,University Group,5,"Their maintainance guys are really great at their jobs. They get here in a timely fashion and have always been helpful. I&#39;m living at Greg Towers again. They&#39;re pretty clear about the cleaning and carpet fees they take out of the security deposit so that&#39;s not really going to be a surprise . Sure it sucks to lose out on that money but it is an inexpensive apartment for the academic year and it feels worth it. Especially since it&#39;s 10 mins from the quad and like 5 mins from the BIF.<br><br>Overall, don&#39;t expect anything fancy.",https://s3-media0.fl.yelpcdn.com/bphoto/MFId5oK6sc89FaRB7C07rA/300s.jpg,1 photo,70,,7/6/2017,,suxOBqLH4Gev_gnbpDo00w,Kanika B.,1,1,"Urbana, IL",LtupqJFSz24dJJzedkHr8Q,https://www.yelp.com/user_details?userid=LtupqJFSz24dJJzedkHr8Q
https://www.yelp.com/biz/university-group-champaign,University Group,1,"one star is the lowest rating of Yelp, but not the high score UG deserves to get.<br>I have never faced such high number of problems in the first day of moves in.","https://s3-media0.fl.yelpcdn.com/bphoto/JMkX6o7OPtSKzIb8in7jJQ/180s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/mXBJxWkhDmn2XfyOU3bO2w/180s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/jNlCF9XLu570Xcs2FoOU1g/180s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/_d-P4kTyv3bvz-keHtnWdg/180s.jpg",4 photos,70,,8/12/2023,,2V7m4a2AgCeuJV5jy7CW4Q,天羽,9,4,"Little Italy, Chicago, IL",9xMTwK3Gz8ofUcgaGlTW-Q,https://www.yelp.com/user_details?userid=9xMTwK3Gz8ofUcgaGlTW-Q
https://www.yelp.com/biz/university-group-champaign,University Group,1,"Dear University Group:<br><br>I hope this email finds you well. I am writing to discuss the deductions made from my security deposit for my tenancy at 1107 S Fourth, Unit 3 during the last academic year.<br><br>Upon reviewing the itemized list of deductions, I noted the following charges:<br><br>Paint and repair: $400<br>Cleaning: $880<br>Item Removal: $350<br>Carpet cleaning: $205<br><br>The total deductions amount (1835 dollars) is a substantial portion of my security deposit. My roommate and I have not caused any damage to the property nor have we left a mess for you to clean. As a tenant, I am entitled to transparency regarding these charges. I request the provision of receipts for each service that was allegedly carried out. This is not only to verify the costs but also to ensure that these services were conducted by legitimate and operational businesses.<br><br>Having consulted with my school&#39;s legal services, I&#39;ve been informed that I have the right to request and review these receipts. To expedite the resolution of this matter, I propose two options:<br><br>1, Kindly provide me with the respective receipts for the aforementioned services. (I&#39;ll send it to my attorney to validate the legitimacy of the company and its service)<br>2, Alternatively, I am willing to accept a refund of 80% of my original security deposit, and we can consider the matter resolved.<br><br>Should I not receive the requested receipts or the proposed refund within a reasonable timeframe, I want to inform you that I am prepared to escalate the matter. While I genuinely hope to resolve this amicably, I will not hesitate to seek legal recourse through my school&#39;s attorney to ensure my rights as a tenant are upheld.<br><br>I trust that we can come to a satisfactory resolution promptly. Thank you for your understanding and cooperation.<br><br>Warm regards,<br>Peter Chen",,,70,,9/21/2023,,m63krTTGXyCEqH_hDGB_jA,Peter C.,0,,"Chicago, IL",tIiqqFIU8h1sULAQCLLFtw,https://www.yelp.com/user_details?userid=tIiqqFIU8h1sULAQCLLFtw
https://www.yelp.com/biz/university-group-champaign,University Group,1,"If you want to live with water leakage over your bed and your desk. Then, they steal your security deposit.",,,70,,10/5/2023,,qTJ_eIZXJ5vwt2q1nECmdw,Samar W.,0,,"Champaign, IL",wp4mgrwuxN1WbBukkvj0cA,https://www.yelp.com/user_details?userid=wp4mgrwuxN1WbBukkvj0cA
https://www.yelp.com/biz/university-group-champaign,University Group,1,"The University Group scams people of their security deposits. They produce fake invoices for painting and cleaning charges and deduct that from your security deposit. This is straight up fraud- the &#34;companies&#34; in charge of cleaning/painting that they list are fake companies- try looking it up and you either cannot find them or the address is false. They fail to provide an itemized list of deductions, which they are required to do. If you are with U Group, I urge you to take PLENTY of photos in videos of the move in condition as well as move out condition. Document and save any fake invoices they send and demand your security deposit refund!",,,70,,9/2/2023,,9wePITG-C5i5z1ADkR2fOw,Nooreen A.,0,,"San Francisco, CA",jLwRl64DJejAxZ6HsXfHrQ,https://www.yelp.com/user_details?userid=jLwRl64DJejAxZ6HsXfHrQ
https://www.yelp.com/biz/university-group-champaign,University Group,1,"1005 S. Sixth Street, HORRIBLE!!!!!!! DO NOT GO THERE. COCKROACHES!!!!!, Washer and dryer were broken for a month, and landlord had no interest in fixing them.  They sent the tenants on a 10 minute walk to do their laundry.  The apartment is hot all the time, and you have no control over that.  And the worst part was the cockroaches.  They were BIG and DISGUSTING.  <br><br>BEWARE AND STAY AWAY!!!!!",,,70,,5/13/2023,,yU3S9xgzi1h0oZyD1NwNmQ,JoAnn R.,0,,"Downers Grove, IL",bMNVzJWMsVnE_atdnq2f8w,https://www.yelp.com/user_details?userid=bMNVzJWMsVnE_atdnq2f8w
https://www.yelp.com/biz/university-group-champaign,University Group,1,"I was willing to overlook the perpetually slow-draining sinks, the mold in the toilet, the goddamn slim jim left in our couch by a previous tenant. I was willing to overlook the lax security in the mailroom, and the crummy, dirty popcorn ceiling, and the painted over cracks in the walls, and the inaccessible-to-disabled-people hallways. I was even willing to overlook the rust stains in the shower and the un-announced barging-in of pest control. The oven whose handle fell off in the first week of use, causing it to never fully turn off. the light that wouldn&#39;t turn on in the closet, too. that i could all turn a blind eye to.<br>But just a few hours ago, sewage water from the apartment above me started leaking out of our kitchen outlets. My walls are literally weeping a stranger&#39;s piss.<br>Also, despite being a tenant of 3 years in this same apartment who was always on time with rent payments, they leased my apartment out to someone else behind my fucking back for the next term. <br>Maybe it&#39;s a good thing that this apartment was yanked out from underneath me. I don&#39;t know that i want to spend another year living in an apartment that can urinate.<br>Fuck you, university group.","https://s3-media0.fl.yelpcdn.com/bphoto/eglIpGjhc1k7xtCQHnk0jg/300s.jpg, https://s3-media0.fl.yelpcdn.com/bphoto/I-agMKDqhJwCZB-xL8Bmzg/300s.jpg",2 photos,70,,4/17/2023,,BnhRwBwyl1AX-fzpEHipOA,Frankie F.,0,2,"San Francisco, CA",w9jOu2qOCL18FM52rQR1lg,https://www.yelp.com/user_details?userid=w9jOu2qOCL18FM52rQR1lg
https://www.yelp.com/biz/university-group-champaign,University Group,1,I need therapy after renting from the U group. This is the worst rental experience I&#39;ve ever dealt with.,,,70,,6/19/2023,,s_9gFmTR_weDq4YzeKK0iQ,Sierra S.,66,,"North Liberty, IA",rQW8cpl5PLq3Fl-Vow6s7g,https://www.yelp.com/user_details?userid=rQW8cpl5PLq3Fl-Vow6s7g
https://www.yelp.com/biz/university-group-champaign,University Group,1,"University Group does not return security deposits. They use fake invoices from fake cleaning &amp; painting companies. Take hundreds of pics &amp; video of every wall, ceiling door, cabinet, shelf, baseboard, tub, under fridge &amp; stove.  When they take your deposit, file a complaint with the <a href=""/redir?url=http%3A%2F%2FIllinoisAttorneyGeneral.gov&amp;s=e23ca0e879b49685abeb0bfa13cc8acaf86318a5110185fa7a3049e0b9e941f5"" target=""_blank"" rel=""nofollow"">IllinoisAttorneyGeneral.…</a>.  Upload all your evidence.<br><br>Write a letter to UC demanding your money back. Tell them you will retain an attorney. <br><br>If you got the $80, file small claims case in the courts &amp; take the fake invoices with. Don&#39;t cash their check until after court case is settled. Search the IL Secretary of State Corp to see if company exists in some version of the name on the invoice. They flip words around so you can&#39;t find the company. Painting invoices never have addresses or phone numbers on invoices.<br><br>File a complaint with the university too.<br><br>I think they should have some of those 85,000 IRS agents come audit them. Bet they are expensing painting &amp; cleaning plus taking peoples deposits.",,,70,,9/8/2022,,AOnG05U2Kcd0xIHTM2AZPg,Lisa W.,1,,"Buffalo Grove, IL",Zu9gOxWoxQw68GJOPrz8zQ,https://www.yelp.com/user_details?userid=Zu9gOxWoxQw68GJOPrz8zQ
https://www.yelp.com/biz/university-group-champaign,University Group,1,"They totally mess up with security deposits and treat students as dumb heads which they can rob of;<br><br>While we cleaned out the apartment, after we move out they send us a bill charging $1,000 cleaning fee, carpet cleaning and painting (which are NOT ALLOWED in Urbana law!!) so basically we cannot get back the $1000 deposit, and even need to pay $600 more. They are unbelievable thieves who work against legal permission.<br><br>I suggest anyone who&#39;s considering UGROUP do not ever get involved in these frauds.",,,70,,9/8/2022,,zcN_vbdfHBYAx8kPnIsYkw,beta g.,0,2,"Urbana, IL",YrJG_DOkO7hzNKFd60_G1w,https://www.yelp.com/user_details?userid=YrJG_DOkO7hzNKFd60_G1w
